etuus;vuosi;kuukausi;paiva;variable;val;type
Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;9369;Saajat
Perustoimeentulotuki;2019;1;2019-01-01;uudet saajat;7240;Saajakotitaloudet
Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;184759;Saajat
Perustoimeentulotuki;2019;1;2019-01-01;aiemmin tukea saaneet;121746;Saajakotitaloudet
Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;10228;Saajat
Perustoimeentulotuki;2019;2;2019-02-01;uudet saajat;7635;Saajakotitaloudet
Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;202392;Saajat
Perustoimeentulotuki;2019;2;2019-02-01;aiemmin tukea saaneet;131921;Saajakotitaloudet
Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;10525;Saajat
Perustoimeentulotuki;2019;3;2019-03-01;uudet saajat;8004;Saajakotitaloudet
Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;210371;Saajat
Perustoimeentulotuki;2019;3;2019-03-01;aiemmin tukea saaneet;136995;Saajakotitaloudet
Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;10283;Saajat
Perustoimeentulotuki;2019;4;2019-04-01;uudet saajat;7889;Saajakotitaloudet
Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;213588;Saajat
Perustoimeentulotuki;2019;4;2019-04-01;aiemmin tukea saaneet;138912;Saajakotitaloudet
Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;9506;Saajat
Perustoimeentulotuki;2019;5;2019-05-01;uudet saajat;7161;Saajakotitaloudet
Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;214309;Saajat
Perustoimeentulotuki;2019;5;2019-05-01;aiemmin tukea saaneet;139727;Saajakotitaloudet
Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;12581;Saajat
Perustoimeentulotuki;2019;6;2019-06-01;uudet saajat;10545;Saajakotitaloudet
Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;217511;Saajat
Perustoimeentulotuki;2019;6;2019-06-01;aiemmin tukea saaneet;142548;Saajakotitaloudet
Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;11278;Saajat
Perustoimeentulotuki;2019;7;2019-07-01;uudet saajat;8975;Saajakotitaloudet
Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;218960;Saajat
Perustoimeentulotuki;2019;7;2019-07-01;aiemmin tukea saaneet;145013;Saajakotitaloudet
Perustoimeentulotuki;2019;8;2019-08-01;uudet saajat;7868;Saajat
Perustoimeentulotuki;2019;8;2019-08-01;uudet saajat;6157;Saajakotitaloudet
Perustoimeentulotuki;2019;8;2019-08-01;aiemmin tukea saaneet;182206;Saajat
Perustoimeentulotuki;2019;8;2019-08-01;aiemmin tukea saaneet;120327;Saajakotitaloudet
Perustoimeentulotuki;2019;9;2019-09-01;uudet saajat;7966;Saajat
Perustoimeentulotuki;2019;9;2019-09-01;uudet saajat;6153;Saajakotitaloudet
Perustoimeentulotuki;2019;9;2019-09-01;aiemmin tukea saaneet;181927;Saajat
Perustoimeentulotuki;2019;9;2019-09-01;aiemmin tukea saaneet;119582;Saajakotitaloudet
Perustoimeentulotuki;2019;10;2019-10-01;uudet saajat;9310;Saajat
Perustoimeentulotuki;2019;10;2019-10-01;uudet saajat;7116;Saajakotitaloudet
Perustoimeentulotuki;2019;10;2019-10-01;aiemmin tukea saaneet;194507;Saajat
Perustoimeentulotuki;2019;10;2019-10-01;aiemmin tukea saaneet;127211;Saajakotitaloudet
Perustoimeentulotuki;2019;11;2019-11-01;uudet saajat;9471;Saajat
Perustoimeentulotuki;2019;11;2019-11-01;uudet saajat;7196;Saajakotitaloudet
Perustoimeentulotuki;2019;11;2019-11-01;aiemmin tukea saaneet;197693;Saajat
Perustoimeentulotuki;2019;11;2019-11-01;aiemmin tukea saaneet;129003;Saajakotitaloudet
Perustoimeentulotuki;2019;12;2019-12-01;uudet saajat;8681;Saajat
Perustoimeentulotuki;2019;12;2019-12-01;uudet saajat;6410;Saajakotitaloudet
Perustoimeentulotuki;2019;12;2019-12-01;aiemmin tukea saaneet;195225;Saajat
Perustoimeentulotuki;2019;12;2019-12-01;aiemmin tukea saaneet;127301;Saajakotitaloudet
Perustoimeentulotuki;2020;1;2020-01-01;uudet saajat;11759;Saajat
Perustoimeentulotuki;2020;1;2020-01-01;uudet saajat;8179;Saajakotitaloudet
Perustoimeentulotuki;2020;1;2020-01-01;aiemmin tukea saaneet;199604;Saajat
Perustoimeentulotuki;2020;1;2020-01-01;aiemmin tukea saaneet;129378;Saajakotitaloudet
Perustoimeentulotuki;2020;2;2020-02-01;uudet saajat;11512;Saajat
Perustoimeentulotuki;2020;2;2020-02-01;uudet saajat;8147;Saajakotitaloudet
Perustoimeentulotuki;2020;2;2020-02-01;aiemmin tukea saaneet;204416;Saajat
Perustoimeentulotuki;2020;2;2020-02-01;aiemmin tukea saaneet;132246;Saajakotitaloudet
