"viikko";"vuosi";"puhelinpalvelun_vastausprosentti"
"1";"2019";"52,5"
"2";"2019";"43,6"
"3";"2019";"53,7"
"4";"2019";"55,2"
"5";"2019";"44,2"
"6";"2019";"43,7"
"7";"2019";"31,2"
"8";"2019";"42,0"
"9";"2019";"25,9"
"10";"2019";"28,2"
"11";"2019";"51,2"
"12";"2019";"60,7"
"13";"2019";"61,6"
"14";"2019";"56,4"
"15";"2019";"72,0"
"16";"2019";"58,0"
"17";"2019";"46,5"
"18";"2019";"35,6"
"19";"2019";"50,4"
"20";"2019";"72,6"
"21";"2019";"81,7"
"22";"2019";"49,9"
"23";"2019";"44,1"
"24";"2019";"55,8"
"25";"2019";"54,5"
"26";"2019";"34,7"
"27";"2019";"39,8"
"28";"2019";"44,5"
"29";"2019";"53,8"
"30";"2019";"71,0"
"31";"2019";"47,5"
"32";"2019";"35,3"
"33";"2019";"47,6"
"34";"2019";"65,1"
"35";"2019";"64,6"
"36";"2019";"57,7"
"37";"2019";"76,3"
"38";"2019";"78,8"
"39";"2019";"63,1"
"40";"2019";"50,1"
"41";"2019";"59,9"
"42";"2019";"56,8"
"43";"2019";"66,6"
"44";"2019";"53,6"
"45";"2019";"50,4"
"46";"2019";"54,5"
"47";"2019";"67,8"
"48";"2019";"65,4"
"49";"2019";"30,6"
"50";"2019";"34,9"
"51";"2019";"37,7"
"52";"2019";"56,8"
"1";"2020";"27,1"
"2";"2020";"19,2"
"3";"2020";"28,1"
"4";"2020";"32,7"
"5";"2020";"27,2"
"6";"2020";"23,4"
"7";"2020";"39,9"
"8";"2020";"39,1"
"9";"2020";"31,9"
"10";"2020";"23,4"
"11";"2020";"42,2"
"12";"2020";"53,9"
"13";"2020";"68,1"
"14";"2020";"85,1"
"15";"2020";"88,2"
"16";"2020";"70,6"
"17";"2020";"92,0"
"18";"2020";"83,9"
"19";"2020";"78,5"
"20";"2020";"90,6"
"21";"2020";"86,3"
"22";"2020";"90,1"
"23";"2020";"91,8"
"24";"2020";"94,6"
"25";"2020";"93,6"
"26";"2020";"92,0"
"27";"2020";"90,9"
"28";"2020";"90,4"
"29";"2020";"92,3"
"30";"2020";"93,4"
"31";"2020";"92,0"
"32";"2020";"88,7"
"33";"2020";"89,9"
"34";"2020";"90,9"
"35";"2020";"91,8"
"36";"2020";"87,7"
"37";"2020";"94,3"
"38";"2020";"94,4"
"39";"2020";"94,3"
"40";"2020";"78,5"
"41";"2020";"81,1"
"42";"2020";"73,5"
"43";"2020";"85,2"
"44";"2020";"82,5"
"45";"2020";"80,0"
"46";"2020";"86,8"
"47";"2020";"80,2"
"48";"2020";"78,5"
"49";"2020";"72,6"
"50";"2020";"76,3"
"51";"2020";"72,6"
"52";"2020";"86,1"
"53";"2020";"78,5"
"1";"2021";"68,7"
"2";"2021";"85,4"
"3";"2021";"72,6"
"4";"2021";"63,2"
"5";"2021";"60,2"
"6";"2021";"66,8"
